DateTime,Players,Twitch Viewers
30/11/2018 00:00,3394,460
01/12/2018 00:00,3870,1094
02/12/2018 00:00,4097,896
03/12/2018 00:00,3707,890
04/12/2018 00:00,3674,818
05/12/2018 00:00,3694,881
06/12/2018 00:00,3667,992
07/12/2018 00:00,3607,839
08/12/2018 00:00,3931,952
09/12/2018 00:00,4156,1000
10/12/2018 00:00,3693,757
11/12/2018 00:00,3685,996
12/12/2018 00:00,3674,925
13/12/2018 00:00,3637,743
14/12/2018 00:00,3712,773
15/12/2018 00:00,3958,890
16/12/2018 00:00,4191,7443
17/12/2018 00:00,3732,840
18/12/2018 00:00,3695,1325
19/12/2018 00:00,3622,599
20/12/2018 00:00,3553,745
21/12/2018 00:00,3584,661
22/12/2018 00:00,3703,698
23/12/2018 00:00,3968,752
24/12/2018 00:00,3799,599
25/12/2018 00:00,3647,546
26/12/2018 00:00,3724,812
27/12/2018 00:00,3768,695
28/12/2018 00:00,3797,778
29/12/2018 00:00,3872,577
30/12/2018 00:00,3913,788
31/12/2018 00:00,3620,493
01/01/2019 00:00,3728,540
02/01/2019 00:00,3802,803
03/01/2019 00:00,3824,734
04/01/2019 00:00,3933,782
05/01/2019 00:00,4172,759
06/01/2019 00:00,4367,1138
07/01/2019 00:00,3938,854
08/01/2019 00:00,3969,988
09/01/2019 00:00,3928,1193
10/01/2019 00:00,3907,989
11/01/2019 00:00,4029,1053
12/01/2019 00:00,4143,858
13/01/2019 00:00,4378,772
14/01/2019 00:00,3927,662
15/01/2019 00:00,3980,1297
16/01/2019 00:00,3941,1046
17/01/2019 00:00,3934,966
18/01/2019 00:00,3901,797
19/01/2019 00:00,4048,834
20/01/2019 00:00,4308,1154
21/01/2019 00:00,3914,655
22/01/2019 00:00,3862,1333
23/01/2019 00:00,3872,726
24/01/2019 00:00,3894,986
25/01/2019 00:00,3840,723
26/01/2019 00:00,3985,690
27/01/2019 00:00,4241,756
28/01/2019 00:00,3720,1013
29/01/2019 00:00,3731,964
