"DateTime","Players","Flags","Twitch Viewers"
"2017-11-11 00:00:00",6477,,1981
"2017-11-12 00:00:00",6070,,5200
"2017-11-13 00:00:00",5086,,1505
"2017-11-14 00:00:00",4043,,3248
"2017-11-15 00:00:00",3860,,2641
"2017-11-16 00:00:00",3791,,3207
"2017-11-17 00:00:00",4559,,2740
"2017-11-18 00:00:00",5716,,1844
"2017-11-19 00:00:00",5231,,960
"2017-11-20 00:00:00",4538,,2610
"2017-11-21 00:00:00",3992,,2966
"2017-11-22 00:00:00",4103,,1425
"2017-11-23 00:00:00",4590,,943
"2017-11-24 00:00:00",4805,,3080
"2017-11-25 00:00:00",5256,,10775
"2017-11-26 00:00:00",4753,,3036
"2017-11-27 00:00:00",3947,,2983
"2017-11-28 00:00:00",3133,,4442
"2017-11-29 00:00:00",3062,,2487
"2017-11-30 00:00:00",3059,,3503
"2017-12-01 00:00:00",3599,,3470
"2017-12-02 00:00:00",4589,,6486
"2017-12-03 00:00:00",4313,,10201
"2017-12-04 00:00:00",3439,,2735
"2017-12-05 00:00:00",2765,,3867
"2017-12-06 00:00:00",2614,,3114
"2017-12-07 00:00:00",2838,,4185
"2017-12-08 00:00:00",3860,,605
"2017-12-09 00:00:00",4852,,6753
"2017-12-10 00:00:00",4183,,815
"2017-12-11 00:00:00",3377,,939
"2017-12-12 00:00:00",2869,,783
"2017-12-13 00:00:00",2593,,2268
"2017-12-14 00:00:00",2573,,1161
"2017-12-15 00:00:00",3032,,1120
"2017-12-16 00:00:00",3681,,7792
"2017-12-17 00:00:00",3575,,900
"2017-12-18 00:00:00",2945,,1470
"2017-12-19 00:00:00",2736,,2761
"2017-12-20 00:00:00",2864,,1192
"2017-12-21 00:00:00",3627,,3147
"2017-12-22 00:00:00",4579,,1097
"2017-12-23 00:00:00",5405,,861
"2017-12-24 00:00:00",5636,,1099
"2017-12-25 00:00:00",7231,,385
"2017-12-26 00:00:00",6680,,930
"2017-12-27 00:00:00",6516,,1078
"2017-12-28 00:00:00",6047,,1771
"2017-12-29 00:00:00",5871,,3342
"2017-12-30 00:00:00",5890,,930
"2017-12-31 00:00:00",5920,,14562
"2018-01-01 00:00:00",5716,,733
"2018-01-02 00:00:00",5082,,972
"2018-01-03 00:00:00",4665,,759
"2018-01-04 00:00:00",4935,,8810
"2018-01-05 00:00:00",4737,,1202
"2018-01-06 00:00:00",5055,,1246
"2018-01-07 00:00:00",4589,,1432
"2018-01-08 00:00:00",3814,,1234
"2018-01-09 00:00:00",3170,,684
"2018-01-10 00:00:00",2968,,3684
"2018-01-11 00:00:00",2857,,532
"2018-01-12 00:00:00",3345,,796
"2018-01-13 00:00:00",4098,,672
"2018-01-14 00:00:00",3721,,1072
"2018-01-15 00:00:00",3283,,2610
"2018-01-16 00:00:00",2773,,1081
"2018-01-17 00:00:00",2471,,1878
"2018-01-18 00:00:00",2440,,875
"2018-01-19 00:00:00",2670,,3033
"2018-01-20 00:00:00",3456,,667
"2018-01-21 00:00:00",3140,,7093
"2018-01-22 00:00:00",2658,,5268
"2018-01-23 00:00:00",2121,,1780
"2018-01-24 00:00:00",1964,,1304
"2018-01-25 00:00:00",1979,,1009
"2018-01-26 00:00:00",2436,,1053
"2018-01-27 00:00:00",2945,,729
"2018-01-28 00:00:00",2719,,832
"2018-01-29 00:00:00",2238,,718
"2018-01-30 00:00:00",1722,,1957
"2018-01-31 00:00:00",1632,,5796
"2018-02-01 00:00:00",1633,,840
"2018-02-02 00:00:00",2040,,2110
"2018-02-03 00:00:00",2581,,2786
"2018-02-04 00:00:00",2449,,592
"2018-02-05 00:00:00",1870,,1917
"2018-02-06 00:00:00",1531,,1341
"2018-02-07 00:00:00",1432,,255
"2018-02-08 00:00:00",1404,,311
"2018-02-09 00:00:00",1781,,2330
"2018-02-10 00:00:00",2307,,416
"2018-02-11 00:00:00",2146,,220
