,Country/Region,Province,Date,Type,Reference,Lat,Lng
137,India,,3/24/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7,20.593684,78.96288
138,Indonesia,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia,-0.789275,113.921327
139,Iran,,3/15/20,Full,https://www.dailymail.co.uk/news/article-8109981/Iran-imposes-nationwide-lockdown-24-hours-citizen-checked-coronavirus.html,32.427908,53.688046
140,Iraq,,3/22/20,Full,https://www.middleeasteye.net/news/coronavirus-iraq-impose-total-lockdown-until-28-march,33.223191,43.679291
141,Ireland,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland,53.1423672,-7.692053599999999
142,Israel,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,31.046051,34.851612
143,Italy,,3/11/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7,41.87194,12.56738
144,Jamaica,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jamaica,18.109581,-77.297508
145,Japan,,2/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan,36.204824,138.252924
146,Jersey,,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jersey,49.214439,-2.13125
147,Jordan,,3/21/20,Full,https://www.nytimes.com/aponline/2020/03/21/world/middleeast/ap-ml-virus-outbreak-mideast.html,37.9973704,-97.3342624
148,Kazakhstan,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kazakhstan,48.019573,66.923684
149,Kenya,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kenya,-0.023559,37.906193
150,"Korea, South",,2/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Korea,35.907757,127.766922
151,Kosovo,,3/25/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kosovo,42.6026359,20.902977
152,Kuwait,,3/16/20,Partial,https://www.cosmopolitanme.com/travel/kuwait-shutdown-due-to-coronavirus,29.31166,47.481766
153,Kyrgyzstan,,3/24/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kyrgyzstan,41.20438,74.766098
154,Laos,,,None,,19.85627,102.495496
155,Latvia,,3/13/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Latvia,56.879635,24.603189
156,Lebanon,,3/16/20,Full,https://www.haaretz.com/middle-east-news/lebanon-goes-on-virus-lockdown-as-iraqis-go-panic-shopping-ahead-of-curfew-1.8679069,33.854721,35.862285
157,Liberia,,,None,,6.428055,-9.429499000000002
158,Libya,,,None,,26.3351,17.228331
159,Liechtenstein,,3/20/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Liechtenstein,47.166,9.555373
160,Lithuania,,3/16/20,Full,https://www.euractiv.com/section/coronavirus/short_news/lithuania-update-covid-19/,55.169438,23.881275
161,Luxembourg,,3/16/20,Full,https://luxtimes.lu/luxembourg/40100-germany-border-checks-add-to-luxembourg-virus-lockdown,49.815273,6.129582999999999
162,Madagascar,,3/17/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Madagascar,-18.766947,46.869107
163,Malaysia,,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malaysia,4.210484,101.975766
164,Maldives,,3/11/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Maldives,3.202778,73.22068
165,Mali,,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mali,17.570692,-3.996166
166,Malta,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malta,35.937496,14.375416
167,Mauritania,,,None,,21.00789,-10.940835
168,Mauritius,,3/17/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mauritius,-20.348404,57.55215200000001
169,Mexico,,3/14/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mexico,23.634501,-102.552784
170,Moldova,,3/11/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Moldova,47.411631,28.369885
171,Monaco,,3/17/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Monaco,43.73841760000001,7.424615799999999
172,Mongolia,,3/10/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mongolia,46.862496,103.846656
173,Montenegro,,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montenegro,42.708678,19.37439
174,Morocco,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Morocco,31.791702,-7.092619999999999
175,Mozambique,,,None,,-18.665695,35.529562
176,MS Zaandam,,,None,,,
177,Namibia,,3/14/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Namibia,-22.95764,18.49041
178,Nepal,,3/24/20,Full,https://edition.cnn.com/travel/article/nepal-trekkers-stranded-coronavirus-scli-intl/index.html,28.394857,84.12400799999999
179,Netherlands,Aruba,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Aruba,12.52111,-69.968338
180,Netherlands,,3/24/20,Full,https://www.ukrant.nl/why-the-netherlands-is-not-on-lockdown-yet/?lang=en,52.132633,5.291265999999999
181,Netherlands,Curacao,,None,,12.16957,-68.99002
182,Netherlands,Sint Maarten,,None,,18.04248,-63.05483
183,New Zealand,,3/25/20,Full,https://www.bbc.co.uk/news/av/world-52001578/coronavirus-new-zealand-announces-lockdown,-40.900557,174.885971
184,Nicaragua,,,None,,12.865416,-85.207229
185,Niger,,,None,,17.607789,8.081666
